OMRÅDE;KØN;ALDER;TID;INDHOLD
Hvidovre;I alt;Alder i alt;2025M01;53760
Hvidovre;I alt;Alder i alt;2025M02;53721
Hvidovre;I alt;Alder i alt;2025M03;53775
Hvidovre;I alt;Alder i alt;2025M04;53757
Hvidovre;I alt;Alder i alt;2025M05;53821
Hvidovre;I alt;Alder i alt;2025M06;53938
Hvidovre;I alt;Alder i alt;2025M07;53973
Hvidovre;I alt;Alder i alt;2025M08;54007
Hvidovre;I alt;Alder i alt;2025M09;54066
Hvidovre;I alt;Alder i alt;2025M10;54155
Hvidovre;I alt;Alder i alt;2025M11;54250
Hvidovre;I alt;Alder i alt;2025M12;54306
Hvidovre;I alt;Alder i alt;2026M01;54228
Hvidovre;I alt;Alder i alt;2026M02;54210
Hvidovre;I alt;Alder i alt;2026M03;54175
Hvidovre;I alt;Alder i alt;2026M04;54152
Hvidovre;I alt;0 år;2025M01;505
Hvidovre;I alt;0 år;2025M02;501
Hvidovre;I alt;0 år;2025M03;496
Hvidovre;I alt;0 år;2025M04;493
Hvidovre;I alt;0 år;2025M05;497
Hvidovre;I alt;0 år;2025M06;473
Hvidovre;I alt;0 år;2025M07;492
Hvidovre;I alt;0 år;2025M08;514
Hvidovre;I alt;0 år;2025M09;525
Hvidovre;I alt;0 år;2025M10;537
Hvidovre;I alt;0 år;2025M11;535
Hvidovre;I alt;0 år;2025M12;532
Hvidovre;I alt;0 år;2026M01;513
Hvidovre;I alt;0 år;2026M02;514
Hvidovre;I alt;0 år;2026M03;509
Hvidovre;I alt;0 år;2026M04;513
Hvidovre;I alt;1 år;2025M01;588
Hvidovre;I alt;1 år;2025M02;583
Hvidovre;I alt;1 år;2025M03;577
Hvidovre;I alt;1 år;2025M04;577
Hvidovre;I alt;1 år;2025M05;559
Hvidovre;I alt;1 år;2025M06;578
Hvidovre;I alt;1 år;2025M07;565
Hvidovre;I alt;1 år;2025M08;549
Hvidovre;I alt;1 år;2025M09;517
Hvidovre;I alt;1 år;2025M10;511
Hvidovre;I alt;1 år;2025M11;509
Hvidovre;I alt;1 år;2025M12;520
Hvidovre;I alt;1 år;2026M01;520
Hvidovre;I alt;1 år;2026M02;518
Hvidovre;I alt;1 år;2026M03;510
Hvidovre;I alt;1 år;2026M04;507
Hvidovre;I alt;2 år;2025M01;570
Hvidovre;I alt;2 år;2025M02;576
Hvidovre;I alt;2 år;2025M03;588
Hvidovre;I alt;2 år;2025M04;571
Hvidovre;I alt;2 år;2025M05;577
Hvidovre;I alt;2 år;2025M06;580
Hvidovre;I alt;2 år;2025M07;579
Hvidovre;I alt;2 år;2025M08;584
Hvidovre;I alt;2 år;2025M09;594
Hvidovre;I alt;2 år;2025M10;600
Hvidovre;I alt;2 år;2025M11;599
Hvidovre;I alt;2 år;2025M12;591
Hvidovre;I alt;2 år;2026M01;593
Hvidovre;I alt;2 år;2026M02;585
Hvidovre;I alt;2 år;2026M03;582
Hvidovre;I alt;2 år;2026M04;582
Hvidovre;I alt;3 år;2025M01;659
Hvidovre;I alt;3 år;2025M02;658
Hvidovre;I alt;3 år;2025M03;647
Hvidovre;I alt;3 år;2025M04;636
Hvidovre;I alt;3 år;2025M05;627
Hvidovre;I alt;3 år;2025M06;629
Hvidovre;I alt;3 år;2025M07;623
Hvidovre;I alt;3 år;2025M08;628
Hvidovre;I alt;3 år;2025M09;608
Hvidovre;I alt;3 år;2025M10;610
Hvidovre;I alt;3 år;2025M11;599
Hvidovre;I alt;3 år;2025M12;596
Hvidovre;I alt;3 år;2026M01;585
Hvidovre;I alt;3 år;2026M02;586
Hvidovre;I alt;3 år;2026M03;596
Hvidovre;I alt;3 år;2026M04;583
Hvidovre;I alt;4 år;2025M01;646
Hvidovre;I alt;4 år;2025M02;633
Hvidovre;I alt;4 år;2025M03;639
Hvidovre;I alt;4 år;2025M04;655
Hvidovre;I alt;4 år;2025M05;643
Hvidovre;I alt;4 år;2025M06;643
Hvidovre;I alt;4 år;2025M07;644
Hvidovre;I alt;4 år;2025M08;644
Hvidovre;I alt;4 år;2025M09;649
Hvidovre;I alt;4 år;2025M10;653
Hvidovre;I alt;4 år;2025M11;663
Hvidovre;I alt;4 år;2025M12;672
Hvidovre;I alt;4 år;2026M01;681
Hvidovre;I alt;4 år;2026M02;680
Hvidovre;I alt;4 år;2026M03;660
Hvidovre;I alt;4 år;2026M04;647
